제목,내용
아름다움의 입구에 어느새 가을의 하나둘 떨어지는 빗소리 싸리꽃의 마음에,"노래의 마음이라는
작은 음표 안에 숨어있는 잔잔함
하얀 안개의 호흡이 있어.
아지랑이 숲속에 생기를 불어넣고 있는
안개꽃의 저녁과 기다림
나뭇잎들이 춤추고 싶어 하는
고요함의 느낌표는
바람이 오면 물결이 되고
처음으로 보내온
순수의 가을편지는
단풍잎이 노란 잉크로
별들처럼 마음을 빼앗김이라는
때론 수줍은 고백으로 알려오는
아름다움의 순결함은
꽃들이 기다림과
봄을 개어 이슬비 숲을
빗소리의 모남을 다시 곱게 펴내는 일입니다
아름다움의 눈물이 더해지면
노란 아침은 거미줄을 가져와
하얀 뜨개질로
강물의 겉옷을 만들고
고요함의 언덕은
이미 별빛으로 만들어진 오랜 느낌으로
따듯함과 깊음의
초록색 다정함을 옷깃을 입은
파란 이끼들은
풀잎 휘파람이 만들어 놓은
여울의 노란 노을은 그 흐름이 깊어집니다.
아름다움의 순간들
꿈이 깨어 있어야 보이는
마음의 거울 속
부지런한 물거미들이 가져오는
이미 저물고 있는
겨울의 노을 망대
이제 푸른 갈대는 네모난 그물을 하나둘 던져
동그랗게 숨어있는 하얀 눈송이를 건져냅니다."
낭만의 가을,"사색하며 걷고 싶다
하 많은 일들 속에
살아가노라면 때로는 숨 막힌 일도
이런저런 일이랑 모두 접어놓고
탈출구가 되었으면 좋으리
하늘빛이 찬란하게 빛나고
사랑도 예쁘게 피어오르게 가슴 열고
갈바람에 실려 오는 수많은 시어로
아름다운 시를 쓰면 좋으리
이 가을은
그냥 시간 속 하나인 가을이 아닌
자유를 만끽하며 즐거움 느끼는
나 혼자만의 낭만의 가을
성숙된 가을이었으면"
불안증,"낯선 바람이 가슴을 스칠 때
나는 길 잃은 나그네처럼 흔들린다.
출처 모를 날 선 불안의 물결이
내 안에서 쉬지 않고 파도친다.
생의 밑바닥에서 고개를 드는 두려움이
가슴 언저리를 돌며 숨결을 재촉한다.
사람은 누구나 이렇게 살아간다지
알 수 없는 불완전함을 등에 지고
희미한 빛 조차 잃을까 몸을 움츠리며
어둠 속으로 손을 뻗어본다.
하지만 이 불안마저 내 일부라면
어둠이 끝나는 곳에 빛이 없더라도
흔들리면서 걷는 내 모습은
존재의 연약한 생의 증거일테다."
"가을, 담쟁이 붉게 물들다","아직, 다른 잎새들은 다 초록인데
왜아니 그렇겠는가
봄부터 가을까지
담벼락을 오르내리며 경계를 허물고
이 집 저 집을 화해시키기가
어디 그리 쉬운가
길에서 만난 낯선 할머니
활짝 웃으며 나에게 다가온다
초면인데, 내가 남자인데, 민족이 다른데도,
인사를 트는 일에는 조금도 거리낌이 없다
실성했나?
얼마나 외로웠으면 저리되었나 싶다가도
아무렴 어떤가
웃음으로 웃는 세상을 만들어 주니……,
담쟁이가 그녀인가, 그녀가 담쟁이인가
둘 다 늙어
노년을 아름답게 꾸미는 가을 전령이 되었으니
이제는 겨울이 와도
담벼락에 길이 나고, 햇님이 활짝 웃으며
나목에 군불 지피겠다"
작은 호수는,"북가주, 프리몬트,
파세요 파드레 길가
사방을 둘러봐도
물길이 없는 오지라
오직 하늘만 바라보고 살아야 하는
처지인데도
항상 기죽지 않고 싱싱합니다
우리네 믿음도
저 정도는 되어야
하나님이 기뻐하실 텐데……,
푸른 호수여,
오늘도 당신 안에서 사랑놀이하는 저 물새들처럼
나를 달래사 온유와 겸손한 마음으로
여생을 하나님 안에서 살게 하여 주시옵소서"
길 위에서,"나무 사이로 살랑살랑 부는 바람
추억과 희망 공존하네
걸음 하나하나에 시간의 흐름 따라가고
삶의 여정 걸어 나가는 것
길가 풍경 눈앞을 스쳐 가고
사람들은 건물들과 삶의 배경 되어
새소리 바람 소리 어우러져
자신을 돌아보며
지금까지 걸어온 길 앞으로 나가야 하네
갈림길도 나오고 구불구불 험난한 길이지만
멈추지 말고 계속 나가야 하네
삶의 의미를 찾고 자신의 꿈 이룰 수 있기에
끝이 어딘지 모르지만
걸음 멈추지 않고 미래로 나아가네"
비 오는 날의 단상,"비에 젖은 거리를 바라봅니다
거리는 흐릿해지고
빗방울은 바닥에 부딪힙니다
나무들은 갈증 해소하고
잎사귀는 춤을 춥니다
빗방울이 굵어지면
거리는 안개로 자욱합니다
창에 부딪히는 소리
격한 화음에 요동칩니다
떨어진 쓰레기 쓸어가듯
고민도 쓸어갔으면 합니다
비가 그치니
동쪽 하늘에 무지개 뜨고
신선한 공기 마시며
새 희망 펼칩니다"
겨울밤,"고요한 바람에 춤 추네
얼어붙은 겨울
잠들기 이른 시간
추억이 아른아른 떠오르네
가난했던 어린 시절
화롯가에 옹기종기 모여
군고구마 먹으며 이야기꽃 피웠지
나뭇가지에 눈꽃 피고
하얀 눈으로 뒤덮은 거리
은빛으로 반짝반짝 빛났었지
고깔모자에 손모아장갑 끼고
눈사람 만들며 영차영차
나무 썰매 타고 놀았었지
달빛 아래
잠들어 있는 겨울밤
그리움 깊어져 가네"
소쇄원 기행,"오곡문 담장 아래 맑은 계곡물
연못에 떨어지며 세파에 저린 마음 비우라 한다.
제월당 한편에 신우대 바람타는
청단풍이 북채를 다듬고,
부귀영화 신선들은 목청 다듬어 소리를 뽐낸다.
광풍각 추녀가
계곡물에 닿을 듯 드리워지고,
푸른 이끼 돌난간에 가로 놓인
외나무다리 흔들림이 위태롭다.
양산보의 넋이 서린
별서정원 옆자리
왕대숲 푸른 웃음소리에 연인들이 넘어지고,
눈빛 웃음 아득히 하늘가에 맴돌아
붉게 핀 배롱나무 무색하여 외로 비비 꼬인다.
그림 같은 무등벌이 어디인가
구름을 이고 달리는 잔물결이 세파이던가,
별뫼 아래 식영정에 둘러앉아
성산별곡 읊조린
송강은 어디 갔을까?
천년 바람이 황금 노송 껴안고 서럽게 운다.
오늘도 달빛 강으로 빠져드는
소쇄원의 쇠한 바람 소리
지친 세월을 다독인다."
내 인생의 가을,"가을 한가운데 서 있는 나는
시간의 흐름을 본다.
살아온 길이 너무 길어
내 온몸에 단풍이 들고
이젠 나도 바람에 맡기고
흔적도 없이 사라지고 싶다.
황금빛으로 빛나는 꿈도
사그라지는 인생
지금 나는 그 의미를
철학의 눈으로 내려다 본다.
다시 올지 모를 봄을 생각하며
남은 날들을 비워가고
떠나는 순간조차 맞아들일
마지막 잎새 앞에 나는 서 있다."
일촌광음불가경,"어느 날 그곳에 놀러 가보니
앉은뱅이책상 앞에
""일촌광음불가경""이란
붓글씨가 붙어 있었다
짧은 시간이라도
가벼이 여기지 말라는
시간의 소중함을 말하는 것이리라
형은 밤낮 책과 씨름하더니
훗날 박사 학위를 받으시고
유명 교수가 되셨다"
영원한 이별,"뜨거운 혈연으로
꿈같이 살아온 지난날
돌아보면
인생의 봄날은
무정세월로 흘러 흘러
소리 없이 황혼빛으로 물들고
입가에 미소 짓게 하는
소소한 일상들은
두 번 다시 돌아갈 수 없는
감미로운 행복이었다.
인력으로 어찌할 수 없는
비정한 자연의 섭리가
영원한 이별로
보석 같은 삶을 앗아가고
허전한 가슴에 고이는
서러움과 그리움은
골수에 사무친다."
그대 닮은 낙엽이,"뜻하지 않았던 그 끝자락에
그때의 표정 같은 단풍잎들이
아직도 불그스레한데
너는 나를
잊었는지 잃어버렸는지
바스락 바람 한자락에
그대 빼다박은 낙엽이
진심을 다해 툭
떨어지고
한박자 늦은 깨달음에
이제는 잊어야 할 것들만
우수수"
고요함의 의미로 이슬비 아침이 오면 별처럼 빛나는 그리움의 말 함과 들음,"해처럼 고운 눈동자를 가진
아름다움의 그림자를 지나
먼저 시간 있는 숲속을 마음속에 지우고
별이 되어 멈추어 있는
안개꽃의 이름으로
고요함의 느낌을 대문에 달아두고
노래가 가져오는
초록색의 의미 안에
꿈의 중심이 찬란하게 비치고 있음을 알려옵니다.
어느 곳에서나
기다림이라는 이름을 가진
하나의 초대장은
바람과 느낌의 언덕을 달려와
오늘은 종달새의 연극무대가 있는
봄의 마음을 열어
풀잎을 그리고
나무를 곳곳에 세워
처음 한 막이 시작되는 고요함은
나뭇잎 악기들이 노래를 부르는
처음 숲의 봄이 되는 슬픔은
아련하게도 그리움 안에
이슬비 눈물로 바람의 마음을 초대합니다
그래서 생각하는 시간이 가져온
이렇게 고운 아침
별들의 날개로 그린
아름다움과 까다로움
생각의 기둥 안에
오랜 진흙을 네모나게 찍어내면
하나둘 쌓아두고
별들의 걸어서 오는 노을과
그리움의 중간과 계단 너머 보이는
어머니의 아침 기침 소리를 마음으로 읽어주는
초록색 나무들의 앞마당이 가까이 보이게 됩니다
어느 곳에서나 감동을 다 한 산까치가 처마 끝에 아침 새벽별이 매달리고"
바람의 위로,"커피 한 잔 놓고
십일월을 맞이했다
커피 한 잔 놓고
너를 잊으려 거리를 보듯
보낸 시월이 아쉬워
십일월은 바람을 부른다
신경을 안정 시키는
음악을 들으며 눈을 감는다"
갈색나비1,"살바람에 지쳤는지
햇볕이 물든 유리창에 납작이 붙어있다
다음날 조심스레 들여다보니
갈색 단풍이 대롱대롱 매달려 있다
나비가 단풍이 되었을까
단풍이 나비가 되었을까
멍하니 창문을 바라보고 있는데
단풍 한 잎이 희뿌연 재가 되어
바사삭, 내려앉는다"
11월,"바람은 속삭이며 잎을 흔들고
더 깊은 계절로 스며드네.
지는 잎에서 허무를 느낄 때
아득한 저편은 나를 부르네.
낙엽 지는 소리에 사라진 이름들이
흐릿한 별빛 아래 맴돌고
어느새 잊으려던 기억이 되살아나
깊어가는 11월 밤에 젖고 있네.
가여운 영혼은 쉴 자리를 찾고
눈물도 이제는 위로가 되네.
마음속 묵은 자국들이
차갑지만 따스하게 빛나네."
우리 오늘은,"날개를 달아주네
무엇이 되고 싶으면
한 몸이 되어야 하니
오늘은 맑은 바람에
꽃으로 살자 너도 같이"
11월에는,"11월에는 빛이 되게 하소서
흠 없는 정직과 신뢰의 삶으로
일상의 삶이 빛나게 하소서
11에는 감사하게 하소서
열매를 맺어 거둬들인 오곡처럼
아름다운 삶의 열매를 거두어
창조주께 감사하게 하소서
11월에는 사랑하게 하소서
시기와 미움이란 소멸해 주시고
용서와 화해의 장을 열어
하나 된 우리가 되게 하소서
11월에는 희망을 품게 하소서
모두 꿈꾸어 꿈을 이루게 하시고
더 아름다운 내일을 향해가는
희망찬 11월이 되게 하소서"
하얀 빗소리에 깨어난 처음 꽃송이처럼 한 아름 꿈을 마음에 간직해야 하는 날이 오면,"덜컹거리는 문풍지에도
기다리는 수필의 편지
노란 은행잎에 가을의 이야기를
코끝이 매워지도록
밤을 새워 만들어 놓은 고움의 쌓임을
마음에 테두리마다 메꿀 수 있도록
자신을 스스로 기다린
애태움의 처음 글자와의 만남
언젠가는 스스로 잠들 수 있는
처음 숲속들이
메마르고 애태움이 없는
거친 곳에는 초록색 나무를 베어내고
하얀 덤불을 다시 심어
고운 새들의 아침이 되어
다시 나뭇잎 그림자가
봄과 여름을 노란 시간에 서 있을 수 있는
이렇게 포근하고 아늑한
꽃향기의 고요함을
오랜 느낌으로 알 수 있도록
아름다움은 오래됨이라는
고유함을 빗소리에 꽃잎의 아침을 하나둘 가져옵니다.
아름다움의 순간들
어쩌면 그 찬란함에 숨이 멎을 것 같은
하얀 심장의 두근거림
그렇게 꿈의 재료를 만져볼 수 있는
초록색의 한편에 숨겨놓은
꽃이 피는 분홍색이
노래의 강물을 두드려
오월의 하얀 눈의 생각하는
아카시아 나무가 마음을 만들 수 있는
보라색의 하나의 정교함은
노란색의 잔잔함을
꽃잎마다 하나씩 세미하고 아름답게
별들의 항아리로 새겨
나비들의 가져온 푸른 하늘의 샘물에
당신의 숲속이라는 하나의 기다림을 오늘 이곳에 만듭니다"
시월 마지막 날에,"분명히 알고 있는 길이라도
마지막일 때는
좀 더 많이 사랑할 걸
못 해 준 것 만이
가을 산에 거리에 낙엽이
잊혀진다는 것은
어떤 말로 대신할 수 있을까
시월 가는 걸음 무거워
모두 잠든 밤에 살그머니
다 내려놓고 가려 하네
다시 오지 않을 오늘 밤이여
아름다운 시월이여 잘 가거라
나에게도 오늘은 다시없는 날"
오토바이 천국,"너는 천국에 사는구나, 라고 말하면
모든 차량보다 많은 양으로 뭉쳐 다니며
거리의 황제로
포효의 함성으로
천국의 길을, 천국의 질주를 누리고 있으니
네게 내린 신의 영토가 아닐까
수많은 동족끼리 부딪히지 않는 재주
날렵한 몸놀림으로 넘어지지 않는 재주
사람의 보행을 침해하지 않는 재주까지
너는 하노이 교통의 완벽한 지존
버스 한 대에 삼천 대가 따라 붙는
존재의 당당함
처음엔 광란의 무리인 줄 알았지
두려움을 달고 가는 방랑자쯤으로
그런데 아니었다.
너는 집집마다의 소중한 목숨
아이에서 할미까지 하나씩 보듬는 보물
이 나라의 무엇이 널 그렇게 키웠는가"
제비꽃,"행인의 눈에 띌까
보랏빛 수줍음 물들이어
가슴 열어 핀 꽃
꽃병에 꽂혀 본 적
화단에 심겨 본 적
없이
봄꽃이라 불리우는
그 한마디에
마음 열어 핀 꽃
꽃송이 작으니
키라도 컸으면
줄기 짧으니
잎이라도 넓었으면
작음에
숨어 숨어 참빛 발하는
보랏빛 겸손"
가슴으로 본 독도,"고독한 바다에서 혼례를 올리고
무궁화 꽃송이 아가들 낳아
서른 여섯 식구 도란도란 어여삐 살고 있구나.
독도사랑 시낭송, 일백여 시인들
너를 만나러 달려왔는데
야속한 풍랑이 접안을 막아
바다 위 삼봉호에서 가슴으로 너를 보며
피보다 아픈 눈으로
눈물보다 짠 입술로 너를 만난다.
독도여, 한국의 시혼을 심으려 우리가 간다
일행시 지어 흰천에 새겨놓고
바라보는 내 눈시울이 시려오는데
순결한 울타리에
도둑바람이 서성이더라고
갈매기떼 발벗고 줄지어 날아와 흐느끼는데
너는 거룩하여라, 미동도 없이
정의로운 언어에만 귀를 연다고
한 주인의 방울소리에만 빗장을 연다고
살점이 다 깎이어도
웃으며 봄을 피워 올리고
마지막 남은 뼈 한조각일지라도
살빛 평화를 노래하고
다 부수어져 떠도는 혼백일지라도
대한의 맥으로 여기 남아
조국의 동녘 끝자리를 지키겠노라
푸른 피로 혈서를 쓴다."
